mode: set
pvmlab/pvmlab/main.go:7.13,9.2 1 0
pvmlab/pvmlab/cmd/distro_ls.go:21.17,23.4 1 0
pvmlab/pvmlab/cmd/distro_ls.go:25.3,25.31 1 0
pvmlab/pvmlab/cmd/distro_ls.go:25.31,28.4 2 0
pvmlab/pvmlab/cmd/distro_ls.go:30.3,36.36 5 0
pvmlab/pvmlab/cmd/distro_ls.go:36.36,38.4 1 0
pvmlab/pvmlab/cmd/distro_ls.go:39.3,41.42 2 0
pvmlab/pvmlab/cmd/distro_ls.go:41.42,43.38 2 0
pvmlab/pvmlab/cmd/distro_ls.go:43.38,50.65 5 0
pvmlab/pvmlab/cmd/distro_ls.go:50.65,51.72 1 0
pvmlab/pvmlab/cmd/distro_ls.go:51.72,53.7 1 0
pvmlab/pvmlab/cmd/distro_ls.go:56.5,58.19 3 0
pvmlab/pvmlab/cmd/distro_ls.go:58.19,59.41 1 0
pvmlab/pvmlab/cmd/distro_ls.go:59.41,61.7 1 0
pvmlab/pvmlab/cmd/distro_ls.go:64.5,70.22 2 0
pvmlab/pvmlab/cmd/distro_ls.go:74.3,76.13 2 0
pvmlab/pvmlab/cmd/distro_ls.go:80.13,82.2 1 1
pvmlab/pvmlab/cmd/distro_pull.go:21.54,22.23 1 0
pvmlab/pvmlab/cmd/distro_pull.go:22.23,24.4 1 0
pvmlab/pvmlab/cmd/distro_pull.go:25.3,25.64 1 0
pvmlab/pvmlab/cmd/distro_pull.go:25.64,27.4 1 0
pvmlab/pvmlab/cmd/distro_pull.go:29.3,30.17 2 0
pvmlab/pvmlab/cmd/distro_pull.go:30.17,32.4 1 0
pvmlab/pvmlab/cmd/distro_pull.go:35.3,38.75 3 0
pvmlab/pvmlab/cmd/distro_pull.go:38.75,39.37 1 0
pvmlab/pvmlab/cmd/distro_pull.go:39.37,42.5 2 0
pvmlab/pvmlab/cmd/distro_pull.go:43.4,43.39 1 0
pvmlab/pvmlab/cmd/distro_pull.go:46.3,46.13 1 0
pvmlab/pvmlab/cmd/distro_pull.go:50.13,54.2 3 1
pvmlab/pvmlab/cmd/provisioner.go:14.13,16.2 1 1
pvmlab/pvmlab/cmd/provisioner_create.go:34.54,42.52 5 0
pvmlab/pvmlab/cmd/provisioner_create.go:42.52,44.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:46.3,46.44 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:46.44,48.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:50.3,50.48 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:50.48,52.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:54.3,54.19 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:54.19,56.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:58.3,59.17 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:59.17,61.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:62.3,64.51 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:64.51,66.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:68.3,68.78 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:68.78,70.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:72.3,73.17 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:73.17,75.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:77.3,78.17 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:78.17,80.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:83.3,83.54 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:83.54,85.18 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:85.18,87.5 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:89.4,89.49 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:89.49,91.68 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:91.68,93.6 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:94.5,95.61 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:95.61,97.6 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:99.5,99.52 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:100.10,103.5 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:104.9,108.4 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:110.3,110.72 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:110.72,112.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:114.3,115.17 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:115.17,117.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:119.3,120.53 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:120.53,122.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:123.3,124.17 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:124.17,126.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:128.3,131.82 4 0
pvmlab/pvmlab/cmd/provisioner_create.go:131.82,133.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:134.3,134.78 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:134.78,136.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:137.3,143.17 3 0
pvmlab/pvmlab/cmd/provisioner_create.go:143.17,145.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:147.3,148.19 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:148.19,150.18 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:150.18,152.5 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:153.4,154.43 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:157.3,158.21 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:158.21,160.18 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:160.18,162.5 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:163.4,164.45 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:167.3,168.17 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:168.17,170.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:172.3,172.272 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:172.272,174.4 1 0
pvmlab/pvmlab/cmd/provisioner_create.go:175.3,177.13 2 0
pvmlab/pvmlab/cmd/provisioner_create.go:181.13,192.2 9 1
pvmlab/pvmlab/cmd/provisioner_docker.go:12.13,14.2 1 1
pvmlab/pvmlab/cmd/provisioner_docker_start.go:23.54,25.17 2 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:25.17,27.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:29.3,30.17 2 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:30.17,32.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:33.3,33.17 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:33.17,35.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:36.3,41.17 5 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:41.17,43.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:45.3,48.60 3 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:48.60,50.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:52.3,56.17 4 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:56.17,58.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:59.3,62.17 3 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:62.17,64.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:65.3,68.17 3 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:68.17,70.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:71.3,78.24 5 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:78.24,80.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:81.3,84.18 3 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:84.18,86.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:87.3,87.17 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:87.17,89.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:92.3,105.17 4 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:105.17,107.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:108.3,118.17 6 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:118.17,120.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:120.9,122.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:123.3,123.13 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:127.13,130.81 3 1
pvmlab/pvmlab/cmd/provisioner_docker_start.go:130.81,131.13 1 0
pvmlab/pvmlab/cmd/provisioner_docker_start.go:133.2,134.121 2 1
pvmlab/pvmlab/cmd/provisioner_docker_status.go:21.54,23.17 2 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:23.17,25.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:27.3,28.17 2 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:28.17,30.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:31.3,31.17 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:31.17,33.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:34.3,38.17 4 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:38.17,40.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:42.3,47.24 4 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:47.24,49.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:50.3,59.17 5 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:59.17,61.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:64.3,65.80 2 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:65.80,68.4 2 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:70.3,84.30 5 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:84.30,85.60 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:85.60,86.13 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:88.4,89.67 2 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:89.67,91.13 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:93.4,93.29 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:93.29,95.5 1 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:96.4,97.21 2 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:99.3,100.13 2 0
pvmlab/pvmlab/cmd/provisioner_docker_status.go:104.13,106.2 1 1
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:18.54,22.17 3 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:22.17,24.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:25.3,26.17 2 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:26.17,28.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:29.3,29.17 1 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:29.17,31.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:33.3,34.17 2 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:34.17,36.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:38.3,38.24 1 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:38.24,40.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:41.3,54.17 7 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:54.17,56.4 1 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:58.3,61.13 3 0
pvmlab/pvmlab/cmd/provisioner_docker_stop.go:65.13,67.2 1 1
pvmlab/pvmlab/cmd/root.go:21.54,24.3 1 1
pvmlab/pvmlab/cmd/root.go:27.16,28.42 1 0
pvmlab/pvmlab/cmd/root.go:28.42,32.3 2 0
pvmlab/pvmlab/cmd/setup.go:32.54,36.17 3 1
pvmlab/pvmlab/cmd/setup.go:36.17,38.4 1 0
pvmlab/pvmlab/cmd/setup.go:40.3,42.51 2 1
pvmlab/pvmlab/cmd/setup.go:42.51,44.4 1 0
pvmlab/pvmlab/cmd/setup.go:46.3,50.53 5 1
pvmlab/pvmlab/cmd/setup.go:50.53,53.4 2 1
pvmlab/pvmlab/cmd/setup.go:54.3,57.18 3 1
pvmlab/pvmlab/cmd/setup.go:57.18,58.46 1 1
pvmlab/pvmlab/cmd/setup.go:58.46,60.5 1 1
pvmlab/pvmlab/cmd/setup.go:62.4,62.51 1 1
pvmlab/pvmlab/cmd/setup.go:62.51,64.5 1 0
pvmlab/pvmlab/cmd/setup.go:67.3,68.13 2 1
pvmlab/pvmlab/cmd/setup.go:72.45,88.27 6 1
pvmlab/pvmlab/cmd/setup.go:88.27,89.48 1 1
pvmlab/pvmlab/cmd/setup.go:89.48,92.4 2 0
pvmlab/pvmlab/cmd/setup.go:94.2,95.12 2 1
pvmlab/pvmlab/cmd/setup.go:98.37,105.16 6 1
pvmlab/pvmlab/cmd/setup.go:105.16,108.3 2 0
pvmlab/pvmlab/cmd/setup.go:110.2,110.13 1 1
pvmlab/pvmlab/cmd/setup.go:110.13,112.3 1 1
pvmlab/pvmlab/cmd/setup.go:112.8,114.3 1 1
pvmlab/pvmlab/cmd/setup.go:115.2,115.12 1 1
pvmlab/pvmlab/cmd/setup.go:118.32,126.35 6 1
pvmlab/pvmlab/cmd/setup.go:126.35,128.35 2 1
pvmlab/pvmlab/cmd/setup.go:128.35,131.4 2 1
pvmlab/pvmlab/cmd/setup.go:135.2,140.37 3 1
pvmlab/pvmlab/cmd/setup.go:140.37,141.39 1 1
pvmlab/pvmlab/cmd/setup.go:141.39,143.9 2 1
pvmlab/pvmlab/cmd/setup.go:147.2,147.23 1 1
pvmlab/pvmlab/cmd/setup.go:147.23,149.35 2 0
pvmlab/pvmlab/cmd/setup.go:149.35,152.4 2 0
pvmlab/pvmlab/cmd/setup.go:154.2,155.12 2 1
pvmlab/pvmlab/cmd/setup.go:158.13,162.2 3 1
pvmlab/pvmlab/cmd/socket_vmnet.go:12.54,14.3 1 0
pvmlab/pvmlab/cmd/socket_vmnet.go:17.13,19.2 1 1
pvmlab/pvmlab/cmd/socket_vmnet_start.go:15.54,17.56 2 1
pvmlab/pvmlab/cmd/socket_vmnet_start.go:17.56,19.4 1 1
pvmlab/pvmlab/cmd/socket_vmnet_start.go:20.3,21.13 2 1
pvmlab/pvmlab/cmd/socket_vmnet_start.go:25.13,27.2 1 1
pvmlab/pvmlab/cmd/socket_vmnet_status.go:15.54,18.17 3 1
pvmlab/pvmlab/cmd/socket_vmnet_status.go:18.17,20.4 1 1
pvmlab/pvmlab/cmd/socket_vmnet_status.go:22.3,22.14 1 1
pvmlab/pvmlab/cmd/socket_vmnet_status.go:22.14,24.4 1 1
pvmlab/pvmlab/cmd/socket_vmnet_status.go:24.9,26.4 1 1
pvmlab/pvmlab/cmd/socket_vmnet_status.go:27.3,27.13 1 1
pvmlab/pvmlab/cmd/socket_vmnet_status.go:31.13,33.2 1 1
pvmlab/pvmlab/cmd/socket_vmnet_stop.go:15.54,17.55 2 1
pvmlab/pvmlab/cmd/socket_vmnet_stop.go:17.55,19.4 1 1
pvmlab/pvmlab/cmd/socket_vmnet_stop.go:20.3,21.13 2 1
pvmlab/pvmlab/cmd/socket_vmnet_stop.go:25.13,27.2 1 1
pvmlab/pvmlab/cmd/vm.go:12.54,14.3 1 0
pvmlab/pvmlab/cmd/vm.go:17.13,19.2 1 1
pvmlab/pvmlab/cmd/vm_clean.go:24.54,25.15 1 1
pvmlab/pvmlab/cmd/vm_clean.go:25.15,27.4 1 1
pvmlab/pvmlab/cmd/vm_clean.go:29.3,29.21 1 1
pvmlab/pvmlab/cmd/vm_clean.go:29.21,31.4 1 1
pvmlab/pvmlab/cmd/vm_clean.go:32.3,33.31 2 1
pvmlab/pvmlab/cmd/vm_clean.go:37.41,41.75 2 1
pvmlab/pvmlab/cmd/vm_clean.go:41.75,43.55 1 1
pvmlab/pvmlab/cmd/vm_clean.go:43.55,45.4 1 0
pvmlab/pvmlab/cmd/vm_clean.go:48.2,49.16 2 1
pvmlab/pvmlab/cmd/vm_clean.go:49.16,51.3 1 0
pvmlab/pvmlab/cmd/vm_clean.go:52.2,55.53 2 1
pvmlab/pvmlab/cmd/vm_clean.go:55.53,57.3 1 1
pvmlab/pvmlab/cmd/vm_clean.go:59.2,69.37 2 1
pvmlab/pvmlab/cmd/vm_clean.go:69.37,70.44 1 1
pvmlab/pvmlab/cmd/vm_clean.go:70.44,72.27 1 0
pvmlab/pvmlab/cmd/vm_clean.go:72.27,74.5 1 0
pvmlab/pvmlab/cmd/vm_clean.go:78.2,79.12 2 1
pvmlab/pvmlab/cmd/vm_clean.go:82.26,85.16 3 1
pvmlab/pvmlab/cmd/vm_clean.go:85.16,87.3 1 0
pvmlab/pvmlab/cmd/vm_clean.go:89.2,90.16 2 1
pvmlab/pvmlab/cmd/vm_clean.go:90.16,92.3 1 0
pvmlab/pvmlab/cmd/vm_clean.go:94.2,94.23 1 1
pvmlab/pvmlab/cmd/vm_clean.go:94.23,97.3 2 1
pvmlab/pvmlab/cmd/vm_clean.go:99.2,99.30 1 1
pvmlab/pvmlab/cmd/vm_clean.go:99.30,100.47 1 1
pvmlab/pvmlab/cmd/vm_clean.go:100.47,103.4 1 0
pvmlab/pvmlab/cmd/vm_clean.go:105.2,106.12 2 1
pvmlab/pvmlab/cmd/vm_clean.go:109.13,112.2 2 1
pvmlab/pvmlab/cmd/vm_copy.go:26.13,29.2 2 1
pvmlab/pvmlab/cmd/vm_copy.go:31.52,32.20 1 1
pvmlab/pvmlab/cmd/vm_copy.go:32.20,34.3 1 1
pvmlab/pvmlab/cmd/vm_copy.go:36.2,42.36 5 1
pvmlab/pvmlab/cmd/vm_copy.go:42.36,44.3 1 1
pvmlab/pvmlab/cmd/vm_copy.go:45.2,45.38 1 1
pvmlab/pvmlab/cmd/vm_copy.go:45.38,47.3 1 1
pvmlab/pvmlab/cmd/vm_copy.go:49.2,52.20 3 1
pvmlab/pvmlab/cmd/vm_copy.go:52.20,54.39 2 1
pvmlab/pvmlab/cmd/vm_copy.go:54.39,56.4 1 1
pvmlab/pvmlab/cmd/vm_copy.go:57.3,60.23 4 1
pvmlab/pvmlab/cmd/vm_copy.go:61.8,63.39 2 1
pvmlab/pvmlab/cmd/vm_copy.go:63.39,65.4 1 1
pvmlab/pvmlab/cmd/vm_copy.go:66.3,69.24 4 1
pvmlab/pvmlab/cmd/vm_copy.go:72.2,73.16 2 1
pvmlab/pvmlab/cmd/vm_copy.go:73.16,75.3 1 0
pvmlab/pvmlab/cmd/vm_copy.go:76.2,77.16 2 1
pvmlab/pvmlab/cmd/vm_copy.go:77.16,79.3 1 1
pvmlab/pvmlab/cmd/vm_copy.go:81.2,82.16 2 0
pvmlab/pvmlab/cmd/vm_copy.go:82.16,84.3 1 0
pvmlab/pvmlab/cmd/vm_copy.go:86.2,87.16 2 0
pvmlab/pvmlab/cmd/vm_copy.go:87.16,89.3 1 0
pvmlab/pvmlab/cmd/vm_copy.go:91.2,92.19 2 0
pvmlab/pvmlab/cmd/vm_copy.go:92.19,94.3 1 0
pvmlab/pvmlab/cmd/vm_copy.go:95.2,98.29 3 0
pvmlab/pvmlab/cmd/vm_copy.go:98.29,100.3 1 0
pvmlab/pvmlab/cmd/vm_copy.go:100.8,102.3 1 0
pvmlab/pvmlab/cmd/vm_copy.go:104.2,104.19 1 0
pvmlab/pvmlab/cmd/vm_copy.go:104.19,106.3 1 0
pvmlab/pvmlab/cmd/vm_copy.go:106.8,108.3 1 0
pvmlab/pvmlab/cmd/vm_copy.go:110.2,115.21 5 0
pvmlab/pvmlab/cmd/vm_create.go:48.54,56.44 5 1
pvmlab/pvmlab/cmd/vm_create.go:56.44,58.4 1 0
pvmlab/pvmlab/cmd/vm_create.go:60.3,60.34 1 1
pvmlab/pvmlab/cmd/vm_create.go:60.34,62.4 1 0
pvmlab/pvmlab/cmd/vm_create.go:64.3,64.40 1 1
pvmlab/pvmlab/cmd/vm_create.go:64.40,66.4 1 0
pvmlab/pvmlab/cmd/vm_create.go:68.3,68.44 1 1
pvmlab/pvmlab/cmd/vm_create.go:68.44,70.4 1 0
pvmlab/pvmlab/cmd/vm_create.go:72.3,73.17 2 1
pvmlab/pvmlab/cmd/vm_create.go:73.17,75.4 1 0
pvmlab/pvmlab/cmd/vm_create.go:76.3,78.51 2 1
pvmlab/pvmlab/cmd/vm_create.go:78.51,80.4 1 0
pvmlab/pvmlab/cmd/vm_create.go:82.3,82.70 1 1
pvmlab/pvmlab/cmd/vm_create.go:82.70,84.4 1 0
pvmlab/pvmlab/cmd/vm_create.go:86.3,86.67 1 1
pvmlab/pvmlab/cmd/vm_create.go:86.67,88.4 1 1
pvmlab/pvmlab/cmd/vm_create.go:90.3,91.17 2 1
pvmlab/pvmlab/cmd/vm_create.go:91.17,93.4 1 0
pvmlab/pvmlab/cmd/vm_create.go:95.3,96.53 2 1
pvmlab/pvmlab/cmd/vm_create.go:96.53,98.4 1 0
pvmlab/pvmlab/cmd/vm_create.go:99.3,100.17 2 1
pvmlab/pvmlab/cmd/vm_create.go:100.17,102.4 1 0
pvmlab/pvmlab/cmd/vm_create.go:104.3,105.14 2 1
pvmlab/pvmlab/cmd/vm_create.go:105.14,108.18 3 0
pvmlab/pvmlab/cmd/vm_create.go:108.18,110.5 1 0
pvmlab/pvmlab/cmd/vm_create.go:111.4,114.57 3 0
pvmlab/pvmlab/cmd/vm_create.go:114.57,116.5 1 0
pvmlab/pvmlab/cmd/vm_create.go:117.4,117.57 1 0
pvmlab/pvmlab/cmd/vm_create.go:117.57,119.5 1 0
pvmlab/pvmlab/cmd/vm_create.go:121.4,121.69 1 0
pvmlab/pvmlab/cmd/vm_create.go:121.69,123.5 1 0
pvmlab/pvmlab/cmd/vm_create.go:124.9,126.18 2 1
pvmlab/pvmlab/cmd/vm_create.go:126.18,128.5 1 0
pvmlab/pvmlab/cmd/vm_create.go:129.4,133.56 4 1
pvmlab/pvmlab/cmd/vm_create.go:133.56,135.5 1 0
pvmlab/pvmlab/cmd/vm_create.go:136.4,137.83 2 1
pvmlab/pvmlab/cmd/vm_create.go:137.83,139.5 1 0
pvmlab/pvmlab/cmd/vm_create.go:140.4,140.75 1 1
pvmlab/pvmlab/cmd/vm_create.go:140.75,142.5 1 1
pvmlab/pvmlab/cmd/vm_create.go:143.4,147.18 2 1
pvmlab/pvmlab/cmd/vm_create.go:147.18,149.5 1 1
pvmlab/pvmlab/cmd/vm_create.go:152.3,153.15 2 1
pvmlab/pvmlab/cmd/vm_create.go:153.15,155.18 2 0
pvmlab/pvmlab/cmd/vm_create.go:155.18,157.5 1 0
pvmlab/pvmlab/cmd/vm_create.go:158.4,159.43 2 0
pvmlab/pvmlab/cmd/vm_create.go:162.3,163.17 2 1
pvmlab/pvmlab/cmd/vm_create.go:163.17,165.18 2 0
pvmlab/pvmlab/cmd/vm_create.go:165.18,167.5 1 0
pvmlab/pvmlab/cmd/vm_create.go:168.4,169.45 2 0
pvmlab/pvmlab/cmd/vm_create.go:172.3,173.23 2 1
pvmlab/pvmlab/cmd/vm_create.go:173.23,175.18 2 1
pvmlab/pvmlab/cmd/vm_create.go:175.18,177.5 1 0
pvmlab/pvmlab/cmd/vm_create.go:178.4,179.49 2 1
pvmlab/pvmlab/cmd/vm_create.go:182.3,182.229 1 1
pvmlab/pvmlab/cmd/vm_create.go:182.229,184.4 1 1
pvmlab/pvmlab/cmd/vm_create.go:185.3,187.13 2 1
pvmlab/pvmlab/cmd/vm_create.go:191.34,192.14 1 1
pvmlab/pvmlab/cmd/vm_create.go:192.14,193.49 1 1
pvmlab/pvmlab/cmd/vm_create.go:193.49,195.4 1 1
pvmlab/pvmlab/cmd/vm_create.go:197.2,197.12 1 1
pvmlab/pvmlab/cmd/vm_create.go:200.38,201.16 1 1
pvmlab/pvmlab/cmd/vm_create.go:201.16,202.51 1 1
pvmlab/pvmlab/cmd/vm_create.go:202.51,204.4 1 1
pvmlab/pvmlab/cmd/vm_create.go:206.2,206.12 1 1
pvmlab/pvmlab/cmd/vm_create.go:209.36,210.15 1 1
pvmlab/pvmlab/cmd/vm_create.go:210.15,213.27 2 1
